Date,Open,High,Low,Close,Volume,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,ema20,ema250,upper_shadow,RSI20,RSI10,avg_Volume,MB,STD,UB,MF,MF3d_direction,MF5d_direction,prev_High,prev_Low,prev_Close,prev_Open,prev_Vol,prev_upper_shadow,prev_avg_Volume,prev_ema20,prev_ema250,couple_cs_signal,ema20_250_cross_signal,allow_entry
2025-09-16 10:10:00,1880.6,1881.5,1879.0,1879.3,3445,1895.0,1867.0,1876.0,1888.8,299165,10,10,1879.3805905084132,1835.4144940239044,0.900000000000091,57.75836560610099,48.68425324258006,5280.7,1880.8799999999999,5.56214649970454,1889.2232197495566,2618.2000000001253,475440.9320190024,764406.2289163502,1881.7,1878.0,1880.6,1881.7,5863.0,0.0,5469.95,1879.389073719825,1835.062,0,0,0
2025-09-16 10:15:00,1879.2,1880.9,1875.6,1876.5,7531,1895.0,1867.0,1876.0,1888.8,299165,10,15,1879.106248555231,1835.7418685735147,1.7000000000000455,53.320275094964934,40.84187559214486,5269.7,1881.3,4.81303055858361,1888.5195458378753,4973.301886792282,477729.3918005319,768872.5308031423,1881.5,1879.0,1879.3,1880.6,3445.0,0.900000000000091,5280.7,1879.3805905084132,1835.4144940239044,0,0,0
2025-09-16 10:20:00,1876.5,1876.7,1872.0,1874.4,10455,1895.0,1867.0,1876.0,1888.8,299165,10,20,1878.658034407114,1836.0499014932475,0.20000000000004547,50.27073629134796,36.00818130240346,5462.05,1881.625,4.01364449163453,1887.645466737452,-222.4468085109396,477681.2783253543,769088.8081325627,1880.9,1875.6,1876.5,1879.2,7531.0,1.7000000000000455,5269.7,1879.106248555231,1835.7418685735147,0,0,0
2025-09-16 10:25:00,1874.4,1876.6,1873.0,1876.1,6562,1895.0,1867.0,1876.0,1888.8,299165,10,25,1878.4144120826268,1836.3690257841379,0.5,52.581703340781075,42.16493585762669,5210.4,1881.705,3.8778011946499054,1887.5217017919747,4739.222222222176,479393.83388090983,773828.0303547848,1876.7,1872.0,1874.4,1876.5,10455.0,0.20000000000004547,5462.05,1878.658034407114,1836.0499014932475,0,0,0
2025-09-16 10:30:00,1876.1,1878.0,1875.0,1877.4,4559,1895.0,1867.0,1876.0,1888.8,299165,10,30,1878.3178014080909,1836.6959658177304,0.599999999999909,54.291519183731246,46.535568097946474,4963.55,1881.77,3.788778444990965,1887.4531676674865,2735.400000000276,474730.71902942494,772831.9597665499,1876.6,1873.0,1876.1,1874.4,6562.0,0.5,5210.4,1878.4144120826268,1836.3690257841379,0,0,0
2025-09-16 10:35:00,1877.2,1878.8,1876.6,1878.3,4089,1895.0,1867.0,1876.0,1888.8,299165,10,35,1878.3161060358918,1837.0274720661948,0.5,55.4618564916433,49.4727788230229,4893.7,1881.8850000000002,3.6362610930469663,1887.3393916395707,2230.3636363636747,468989.63822134404,770213.0734029139,1878.0,1875.0,1877.4,1876.1,4559.0,0.599999999999909,4963.55,1878.3178014080909,1836.6959658177304,0,0,0
2025-09-16 10:40:00,1878.1,1878.6,1876.2,1878.1,2335,1895.0,1867.0,1876.0,1888.8,299165,10,40,1878.295524508664,1837.3547432051098,0.5,55.13165489236573,48.810669218578305,4532.05,1881.56,3.6711392179893916,1887.066708826984,0.0,468989.63822134404,769603.906736247,1878.8,1876.6,1878.3,1877.2,4089.0,0.5,4893.7,1878.3161060358918,1837.0274720661948,0,0,0
2025-09-16 10:45:00,1878.1,1878.8,1877.1,1877.7,1826,1895.0,1867.0,1876.0,1888.8,299165,10,45,1878.2388078887911,1837.67621935487,0.7000000000000455,54.449186479611534,47.40093268001206,4441.35,1881.2099999999998,3.6896583781338608,1886.7444875672006,537.0588235291532,466261.08414164744,768828.6399783805,1878.6,1876.2,1878.1,1878.1,2335.0,0.5,4532.05,1878.295524508664,1837.3547432051098,0,0,0
2025-09-16 10:50:00,1877.5,1880.8,1877.0,1880.8,3129,1895.0,1867.0,1876.0,1888.8,299165,10,50,1878.4827309470015,1838.0198351369029,0.0,58.62724103631265,57.87706569417792,4448.65,1881.0,3.580502757988743,1886.3707541369831,3129.0,467108.8841416476,765831.925692666,1878.8,1877.1,1877.7,1878.1,1826.0,0.7000000000000455,4441.35,1878.2388078887911,1837.67621935487,0,0,0
2025-09-16 10:55:00,1880.6,1882.1,1879.5,1881.2,4687,1895.0,1867.0,1876.0,1888.8,299165,10,55,1878.7415184758584,1838.363900195573,0.8999999999998636,59.136325770917814,59.046484141687884,4435.6,1880.9199999999996,3.555958675973072,1886.2539380139592,1442.1538461542245,463067.0379878018,760949.3612289615,1880.8,1877.0,1880.8,1877.5,3129.0,0.0,4448.65,1878.4827309470015,1838.0198351369029,0,0,0
2025-09-16 11:00:00,1881.2,1881.6,1880.0,1880.7,2275,1895.0,1867.0,1876.0,1888.8,299165,11,0,1878.9280405257766,1838.7012396362456,0.3999999999998636,58.194129939088654,56.854275152085194,4320.05,1880.6850000000002,3.3960154670726355,1885.7790232006091,284.3749999997575,462356.84155923047,761233.7362289613,1882.1,1879.5,1881.2,1880.6,4687.0,0.8999999999998636,4435.6,1878.7415184758584,1838.363900195573,0,0,0
2025-09-16 11:05:00,1880.7,1881.3,1878.7,1880.9,2793,1895.0,1867.0,1876.0,1888.8,299165,11,5,1879.1158461899886,1839.0374847387457,0.3999999999998636,58.47271432567404,57.55465788650993,4325.1,1880.44,3.177287820563604,1885.2059317308454,1933.6153846156476,462192.8569438462,761928.0182802437,1881.6,1880.0,1880.7,1881.2,2275.0,0.3999999999998636,4320.05,1878.9280405257766,1838.7012396362456,0,0,0
